learner_id,skill_level,predicted_performance,performance_band,risk_probability,risk_status,strengths_count,weaknesses_count,developing_count,behavior_signals_count
LEARNER_0099,Beginner,54.73,Moderate,0.5411,Moderate Risk,1,3,5,2
LEARNER_0100,Advanced,82.75,High,0.0,Low Risk,7,0,2,3
LEARNER_0101,Advanced,93.88,High,0.0,Low Risk,9,0,0,2
LEARNER_0102,Beginner,54.12,Moderate,0.7696,High Risk,0,5,4,4
LEARNER_0103,Beginner,46.41,Low,0.9992,High Risk,0,5,4,3
LEARNER_0104,Advanced,79.84,High,0.0,Low Risk,7,0,2,4
LEARNER_0105,Intermediate,73.47,Moderate,0.0,Low Risk,5,0,4,3
LEARNER_0106,Advanced,91.37,High,0.0,Low Risk,9,0,0,2
LEARNER_0107,Intermediate,64.89,Moderate,0.001,Low Risk,5,1,3,2
LEARNER_0108,Beginner,57.35,Moderate,0.1475,Low Risk,0,6,3,2
LEARNER_0109,Intermediate,70.65,Moderate,0.0,Low Risk,5,2,2,3
LEARNER_0110,Advanced,83.45,High,0.0,Low Risk,8,0,1,3
LEARNER_0111,Advanced,77.15,High,0.0,Low Risk,6,1,2,4
LEARNER_0112,Intermediate,69.68,Moderate,0.0001,Low Risk,4,2,3,3
LEARNER_0113,Advanced,76.17,High,0.0,Low Risk,6,0,3,2
LEARNER_0114,Intermediate,74.45,Moderate,0.0,Low Risk,5,0,4,3
LEARNER_0115,Advanced,81.2,High,0.0,Low Risk,8,1,0,2
LEARNER_0116,Advanced,77.48,High,0.0,Low Risk,6,0,3,3
LEARNER_0117,Beginner,58.05,Moderate,0.0348,Low Risk,1,3,5,3
LEARNER_0118,Intermediate,66.63,Moderate,0.0002,Low Risk,1,4,4,4
LEARNER_0119,Advanced,82.18,High,0.0,Low Risk,6,0,3,3
LEARNER_0120,Beginner,50.61,Moderate,0.974,High Risk,0,6,3,3
LEARNER_0121,Intermediate,66.67,Moderate,0.0002,Low Risk,2,2,5,3
LEARNER_0122,Beginner,50.58,Moderate,0.8983,High Risk,0,6,3,2
LEARNER_0123,Intermediate,62.49,Moderate,0.0026,Low Risk,0,4,5,3
LEARNER_0124,Advanced,81.88,High,0.0,Low Risk,7,0,2,2
LEARNER_0125,Intermediate,64.76,Moderate,0.0013,Low Risk,3,6,0,3
LEARNER_0126,Intermediate,62.87,Moderate,0.0119,Low Risk,1,4,4,3
LEARNER_0127,Beginner,40.63,Low,1.0,High Risk,0,7,2,4
LEARNER_0128,Intermediate,65.81,Moderate,0.0002,Low Risk,3,0,6,3
LEARNER_0129,Intermediate,76.16,High,0.0,Low Risk,6,0,3,1
LEARNER_0130,Advanced,91.57,High,0.0,Low Risk,9,0,0,3
LEARNER_0131,Beginner,52.0,Moderate,0.9098,High Risk,0,6,3,2
LEARNER_0132,Intermediate,68.7,Moderate,0.0001,Low Risk,3,4,2,4
LEARNER_0133,Intermediate,71.19,Moderate,0.0,Low Risk,4,3,2,3
LEARNER_0134,Advanced,87.44,High,0.0,Low Risk,8,0,1,4
LEARNER_0135,Beginner,53.66,Moderate,0.7811,High Risk,1,3,5,2
LEARNER_0136,Intermediate,67.22,Moderate,0.0001,Low Risk,3,2,4,2
LEARNER_0137,Intermediate,73.44,Moderate,0.0,Low Risk,5,3,1,2
LEARNER_0138,Intermediate,64.13,Moderate,0.0034,Low Risk,2,3,4,2
LEARNER_0139,Intermediate,57.76,Moderate,0.2763,Low Risk,0,5,4,2
LEARNER_0140,Intermediate,66.74,Moderate,0.0001,Low Risk,3,5,1,3
LEARNER_0141,Intermediate,84.08,High,0.0,Low Risk,7,1,1,2
LEARNER_0142,Beginner,45.76,Low,0.9991,High Risk,0,7,2,2
LEARNER_0143,Intermediate,65.36,Moderate,0.0012,Low Risk,3,2,4,2
LEARNER_0144,Beginner,50.07,Moderate,0.9918,High Risk,1,4,4,3
LEARNER_0145,Advanced,84.18,High,0.0,Low Risk,7,0,2,2
LEARNER_0146,Beginner,32.34,Low,1.0,High Risk,0,9,0,4
LEARNER_0147,Beginner,51.35,Moderate,0.9799,High Risk,1,5,3,4
LEARNER_0148,Intermediate,67.97,Moderate,0.0002,Low Risk,3,3,3,2
LEARNER_0149,Advanced,84.89,High,0.0,Low Risk,8,0,1,3
LEARNER_0150,Intermediate,62.1,Moderate,0.0036,Low Risk,1,4,4,3
LEARNER_0151,Beginner,53.3,Moderate,0.8668,High Risk,0,5,4,2
LEARNER_0152,Advanced,84.5,High,0.0,Low Risk,9,0,0,4
LEARNER_0153,Beginner,39.63,Low,1.0,High Risk,0,8,1,4
LEARNER_0154,Beginner,31.24,Low,1.0,High Risk,0,9,0,4
LEARNER_0155,Intermediate,74.44,Moderate,0.0,Low Risk,5,1,3,4
LEARNER_0156,Beginner,53.0,Moderate,0.9649,High Risk,0,5,4,2
LEARNER_0157,Beginner,48.68,Low,0.9923,High Risk,0,6,3,3
LEARNER_0158,Intermediate,74.22,Moderate,0.0,Low Risk,6,0,3,4
LEARNER_0159,Intermediate,64.31,Moderate,0.0012,Low Risk,1,4,4,3
LEARNER_0160,Beginner,50.2,Moderate,0.9682,High Risk,1,6,2,3
LEARNER_0161,Beginner,41.88,Low,0.9998,High Risk,0,8,1,3
LEARNER_0162,Intermediate,79.54,High,0.0,Low Risk,6,1,2,4
LEARNER_0163,Intermediate,71.4,Moderate,0.0,Low Risk,3,3,3,4
LEARNER_0164,Beginner,55.5,Moderate,0.5554,Moderate Risk,2,4,3,2
LEARNER_0165,Advanced,93.85,High,0.0,Low Risk,9,0,0,2
LEARNER_0166,Beginner,47.27,Low,0.9985,High Risk,0,7,2,3
LEARNER_0167,Beginner,37.7,Low,1.0,High Risk,0,7,2,3
LEARNER_0168,Beginner,46.49,Low,0.9992,High Risk,0,7,2,3
LEARNER_0169,Intermediate,60.33,Moderate,0.0114,Low Risk,2,3,4,3
LEARNER_0170,Intermediate,64.83,Moderate,0.0008,Low Risk,3,2,4,3
LEARNER_0171,Intermediate,62.24,Moderate,0.0063,Low Risk,2,3,4,2
LEARNER_0172,Intermediate,68.53,Moderate,0.0002,Low Risk,2,4,3,4
LEARNER_0173,Beginner,46.64,Low,0.9973,High Risk,0,8,1,4
LEARNER_0174,Advanced,87.94,High,0.0,Low Risk,8,0,1,2
LEARNER_0175,Intermediate,59.7,Moderate,0.0576,Low Risk,1,3,5,2
LEARNER_0176,Advanced,80.24,High,0.0,Low Risk,6,0,3,3
LEARNER_0177,Intermediate,66.46,Moderate,0.0006,Low Risk,2,1,6,3
LEARNER_0178,Intermediate,73.81,Moderate,0.0,Low Risk,5,1,3,4
LEARNER_0179,Intermediate,75.9,High,0.0,Low Risk,6,1,2,4
LEARNER_0180,Intermediate,71.16,Moderate,0.0,Low Risk,3,2,4,3
LEARNER_0181,Intermediate,67.24,Moderate,0.0001,Low Risk,3,2,4,3
LEARNER_0182,Advanced,83.89,High,0.0,Low Risk,8,0,1,4
LEARNER_0183,Intermediate,61.94,Moderate,0.0033,Low Risk,1,4,4,3
LEARNER_0184,Intermediate,75.4,High,0.0,Low Risk,4,1,4,3
LEARNER_0185,Intermediate,60.46,Moderate,0.0347,Low Risk,2,4,3,4
LEARNER_0186,Advanced,85.01,High,0.0,Low Risk,7,0,2,3
LEARNER_0187,Beginner,50.18,Moderate,0.9851,High Risk,0,6,3,2
LEARNER_0188,Advanced,92.2,High,0.0,Low Risk,9,0,0,2
LEARNER_0189,Beginner,62.65,Moderate,0.0062,Low Risk,3,4,2,3
LEARNER_0190,Beginner,41.69,Low,1.0,High Risk,0,8,1,3
LEARNER_0191,Beginner,65.87,Moderate,0.0017,Low Risk,3,2,4,4
LEARNER_0192,Beginner,45.14,Low,0.9994,High Risk,0,7,2,4
LEARNER_0193,Intermediate,77.53,High,0.0,Low Risk,6,0,3,3
LEARNER_0194,Beginner,49.76,Low,0.9778,High Risk,0,5,4,2
LEARNER_0195,Beginner,54.11,Moderate,0.8234,High Risk,1,4,4,2
LEARNER_0196,Beginner,28.1,Low,1.0,High Risk,0,9,0,4
LEARNER_0197,Intermediate,64.44,Moderate,0.0014,Low Risk,2,3,4,3
LEARNER_0198,Beginner,24.22,Low,1.0,High Risk,0,9,0,4
LEARNER_0199,Beginner,36.19,Low,1.0,High Risk,0,8,1,4
LEARNER_0200,Intermediate,71.32,Moderate,0.0,Low Risk,5,0,4,2
LEARNER_0201,Intermediate,71.14,Moderate,0.0,Low Risk,2,1,6,2
LEARNER_0202,Intermediate,74.31,Moderate,0.0,Low Risk,3,1,5,3
LEARNER_0203,Beginner,50.46,Moderate,0.9802,High Risk,0,7,2,3
LEARNER_0204,Intermediate,61.2,Moderate,0.0283,Low Risk,3,3,3,3
LEARNER_0205,Beginner,63.49,Moderate,0.0015,Low Risk,2,4,3,4
LEARNER_0206,Beginner,40.05,Low,1.0,High Risk,0,7,2,3
LEARNER_0207,Advanced,86.41,High,0.0,Low Risk,9,0,0,2
LEARNER_0208,Advanced,76.08,High,0.0,Low Risk,4,0,5,4
LEARNER_0209,Beginner,61.94,Moderate,0.0219,Low Risk,2,4,3,3
LEARNER_0210,Intermediate,65.97,Moderate,0.0023,Low Risk,2,4,3,4
LEARNER_0211,Intermediate,62.03,Moderate,0.0193,Low Risk,3,3,3,4
LEARNER_0212,Beginner,29.89,Low,1.0,High Risk,0,9,0,4
LEARNER_0213,Beginner,54.3,Moderate,0.7661,High Risk,1,3,5,3
LEARNER_0214,Beginner,50.07,Moderate,0.9955,High Risk,0,8,1,3
LEARNER_0215,Beginner,39.64,Low,1.0,High Risk,0,7,2,3
LEARNER_0216,Intermediate,58.89,Moderate,0.1208,Low Risk,1,4,4,3
LEARNER_0217,Advanced,90.51,High,0.0,Low Risk,9,0,0,4
LEARNER_0218,Intermediate,76.95,High,0.0,Low Risk,5,0,4,3
LEARNER_0219,Intermediate,58.37,Moderate,0.2537,Low Risk,0,5,4,2
LEARNER_0220,Intermediate,69.27,Moderate,0.0001,Low Risk,3,0,6,3
LEARNER_0221,Intermediate,80.24,High,0.0,Low Risk,8,0,1,3
LEARNER_0222,Intermediate,74.28,Moderate,0.0,Low Risk,6,0,3,1
LEARNER_0223,Intermediate,59.76,Moderate,0.0259,Low Risk,2,3,4,2
LEARNER_0224,Beginner,52.48,Moderate,0.9705,High Risk,0,6,3,2
LEARNER_0225,Intermediate,73.06,Moderate,0.0,Low Risk,5,1,3,3
LEARNER_0226,Intermediate,66.1,Moderate,0.0009,Low Risk,3,2,4,3
LEARNER_0227,Intermediate,73.49,Moderate,0.0,Low Risk,5,1,3,4
LEARNER_0228,Intermediate,67.56,Moderate,0.0004,Low Risk,4,1,4,3
LEARNER_0229,Intermediate,77.37,High,0.0,Low Risk,5,0,4,4
LEARNER_0230,Beginner,56.07,Moderate,0.3039,Moderate Risk,1,5,3,3
LEARNER_0231,Advanced,86.94,High,0.0,Low Risk,8,0,1,4
LEARNER_0232,Intermediate,67.63,Moderate,0.0005,Low Risk,5,2,2,3
LEARNER_0233,Advanced,90.43,High,0.0,Low Risk,9,0,0,2
LEARNER_0234,Beginner,49.62,Low,0.9949,High Risk,0,4,5,3
LEARNER_0235,Advanced,90.55,High,0.0,Low Risk,9,0,0,2
LEARNER_0236,Intermediate,63.39,Moderate,0.006,Low Risk,2,2,5,4
LEARNER_0237,Beginner,44.32,Low,0.9997,High Risk,0,7,2,3
LEARNER_0238,Beginner,53.79,Moderate,0.7392,High Risk,0,5,4,4
LEARNER_0239,Beginner,54.6,Moderate,0.8261,High Risk,1,5,3,3
LEARNER_0240,Intermediate,71.27,Moderate,0.0001,Low Risk,4,2,3,3
LEARNER_0241,Advanced,77.45,High,0.0,Low Risk,4,1,4,3
LEARNER_0242,Beginner,50.6,Moderate,0.8844,High Risk,0,5,4,3
LEARNER_0243,Intermediate,62.22,Moderate,0.0065,Low Risk,3,3,3,2
LEARNER_0244,Advanced,90.39,High,0.0,Low Risk,9,0,0,2
LEARNER_0245,Intermediate,88.95,High,0.0,Low Risk,9,0,0,1
LEARNER_0246,Intermediate,69.24,Moderate,0.0,Low Risk,5,3,1,3
LEARNER_0247,Intermediate,61.97,Moderate,0.0051,Low Risk,2,3,4,3
LEARNER_0248,Intermediate,62.65,Moderate,0.0019,Low Risk,1,3,5,3
LEARNER_0249,Intermediate,74.92,Moderate,0.0,Low Risk,3,2,4,1
LEARNER_0250,Beginner,48.04,Low,0.9966,High Risk,0,6,3,3
LEARNER_0251,Beginner,56.66,Moderate,0.0562,Low Risk,2,3,4,4
LEARNER_0252,Beginner,29.8,Low,1.0,High Risk,0,8,1,4
LEARNER_0253,Intermediate,69.21,Moderate,0.0,Low Risk,3,1,5,4
LEARNER_0254,Intermediate,67.36,Moderate,0.0005,Low Risk,6,3,0,2
LEARNER_0255,Beginner,52.7,Moderate,0.8526,High Risk,1,6,2,3
LEARNER_0256,Advanced,89.83,High,0.0,Low Risk,9,0,0,4
LEARNER_0257,Beginner,47.5,Low,0.9896,High Risk,0,9,0,3
LEARNER_0258,Beginner,33.19,Low,1.0,High Risk,0,8,1,4
LEARNER_0259,Intermediate,69.46,Moderate,0.0,Low Risk,3,3,3,2
LEARNER_0260,Intermediate,78.77,High,0.0,Low Risk,7,0,2,2
LEARNER_0261,Advanced,89.04,High,0.0,Low Risk,9,0,0,3
LEARNER_0262,Beginner,50.91,Moderate,0.941,High Risk,0,5,4,2
LEARNER_0263,Intermediate,76.56,High,0.0,Low Risk,5,1,3,3
LEARNER_0264,Intermediate,60.61,Moderate,0.0389,Low Risk,3,6,0,3
LEARNER_0265,Intermediate,61.42,Moderate,0.0312,Low Risk,1,4,4,2
LEARNER_0266,Intermediate,76.74,High,0.0,Low Risk,6,2,1,2
LEARNER_0267,Intermediate,72.72,Moderate,0.0,Low Risk,4,1,4,3
LEARNER_0268,Beginner,40.4,Low,1.0,High Risk,0,9,0,4
LEARNER_0269,Advanced,88.23,High,0.0,Low Risk,9,0,0,2
LEARNER_0270,Advanced,83.62,High,0.0,Low Risk,7,0,2,2
LEARNER_0271,Beginner,52.71,Moderate,0.9042,High Risk,2,6,1,3
LEARNER_0272,Intermediate,69.18,Moderate,0.0001,Low Risk,4,2,3,2
LEARNER_0273,Intermediate,71.6,Moderate,0.0,Low Risk,4,1,4,3
LEARNER_0274,Intermediate,65.49,Moderate,0.0004,Low Risk,2,3,4,3
LEARNER_0275,Beginner,49.22,Low,0.9957,High Risk,1,7,1,2
LEARNER_0276,Beginner,49.96,Low,0.9689,High Risk,0,6,3,3
LEARNER_0277,Intermediate,63.86,Moderate,0.001,Low Risk,0,4,5,2
LEARNER_0278,Advanced,80.97,High,0.0,Low Risk,5,0,4,3
LEARNER_0279,Intermediate,76.5,High,0.0,Low Risk,5,1,3,3
LEARNER_0280,Beginner,53.04,Moderate,0.7858,High Risk,1,7,1,2
LEARNER_0281,Advanced,78.34,High,0.0,Low Risk,5,0,4,4
LEARNER_0282,Beginner,20.91,Low,1.0,High Risk,0,9,0,4
LEARNER_0283,Advanced,78.55,High,0.0,Low Risk,5,0,4,2
LEARNER_0284,Beginner,32.46,Low,1.0,High Risk,0,7,2,4
LEARNER_0285,Beginner,55.4,Moderate,0.5351,Moderate Risk,2,6,1,3
LEARNER_0286,Beginner,43.68,Low,0.9998,High Risk,0,7,2,4
LEARNER_0287,Beginner,42.88,Low,1.0,High Risk,0,7,2,3
LEARNER_0288,Advanced,86.02,High,0.0,Low Risk,7,0,2,3
LEARNER_0289,Beginner,52.43,Moderate,0.967,High Risk,1,6,2,3
LEARNER_0290,Intermediate,70.39,Moderate,0.0,Low Risk,3,2,4,2
LEARNER_0291,Intermediate,60.49,Moderate,0.0196,Low Risk,1,4,4,3
LEARNER_0292,Intermediate,68.09,Moderate,0.0001,Low Risk,1,3,5,3
LEARNER_0293,Intermediate,62.27,Moderate,0.0055,Low Risk,2,4,3,3
LEARNER_0294,Beginner,39.52,Low,1.0,High Risk,0,7,2,2
LEARNER_0295,Intermediate,79.23,High,0.0,Low Risk,7,0,2,3
LEARNER_0296,Beginner,54.26,Moderate,0.8316,High Risk,0,5,4,2
LEARNER_0297,Beginner,34.41,Low,1.0,High Risk,0,9,0,3
LEARNER_0298,Beginner,54.66,Moderate,0.8566,High Risk,0,4,5,3
LEARNER_0299,Advanced,84.52,High,0.0,Low Risk,7,0,2,4
LEARNER_0300,Advanced,79.81,High,0.0,Low Risk,5,0,4,4
LEARNER_0301,Intermediate,60.53,Moderate,0.0527,Low Risk,3,5,1,2
LEARNER_0302,Beginner,55.41,Moderate,0.7381,High Risk,1,5,3,3
LEARNER_0303,Beginner,58.04,Moderate,0.148,Low Risk,1,5,3,3
LEARNER_0304,Advanced,89.07,High,0.0,Low Risk,9,0,0,3
LEARNER_0305,Intermediate,70.36,Moderate,0.0,Low Risk,2,3,4,2
LEARNER_0306,Intermediate,72.62,Moderate,0.0,Low Risk,4,1,4,1
LEARNER_0307,Advanced,81.26,High,0.0,Low Risk,6,0,3,3
LEARNER_0308,Intermediate,64.54,Moderate,0.0009,Low Risk,2,3,4,3
LEARNER_0309,Beginner,56.38,Moderate,0.1962,Low Risk,2,7,0,3
LEARNER_0310,Beginner,55.73,Moderate,0.3663,Moderate Risk,2,6,1,3
LEARNER_0311,Beginner,54.36,Moderate,0.5239,Moderate Risk,2,4,3,4
LEARNER_0312,Intermediate,62.59,Moderate,0.0132,Low Risk,1,4,4,3
LEARNER_0313,Intermediate,70.52,Moderate,0.0,Low Risk,4,1,4,3
LEARNER_0314,Intermediate,63.26,Moderate,0.0046,Low Risk,2,4,3,2
LEARNER_0315,Intermediate,77.8,High,0.0,Low Risk,6,0,3,3
LEARNER_0316,Intermediate,60.57,Moderate,0.0746,Low Risk,3,4,2,2
LEARNER_0317,Intermediate,68.7,Moderate,0.0002,Low Risk,3,2,4,4
LEARNER_0318,Beginner,27.82,Low,1.0,High Risk,0,9,0,4
LEARNER_0319,Intermediate,74.63,Moderate,0.0,Low Risk,6,0,3,2
LEARNER_0320,Intermediate,68.31,Moderate,0.0,Low Risk,2,3,4,3
LEARNER_0321,Advanced,76.43,High,0.0,Low Risk,5,0,4,3
LEARNER_0322,Beginner,14.91,Low,1.0,High Risk,0,9,0,4
LEARNER_0323,Advanced,91.02,High,0.0,Low Risk,8,0,1,2
LEARNER_0324,Intermediate,62.37,Moderate,0.0023,Low Risk,2,5,2,2
LEARNER_0325,Advanced,81.23,High,0.0,Low Risk,8,0,1,3
LEARNER_0326,Beginner,48.14,Low,0.9865,High Risk,0,6,3,2
LEARNER_0327,Intermediate,70.0,Moderate,0.0,Low Risk,4,3,2,2
LEARNER_0328,Beginner,47.97,Low,0.9956,High Risk,1,7,1,3
LEARNER_0329,Beginner,50.33,Moderate,0.9606,High Risk,0,5,4,1
LEARNER_0330,Advanced,85.36,High,0.0,Low Risk,7,0,2,3
LEARNER_0331,Beginner,59.91,Moderate,0.0232,Low Risk,1,4,4,3
LEARNER_0332,Intermediate,68.02,Moderate,0.0001,Low Risk,3,2,4,2
LEARNER_0333,Intermediate,79.51,High,0.0,Low Risk,5,0,4,3
LEARNER_0334,Intermediate,62.84,Moderate,0.0014,Low Risk,3,1,5,0
LEARNER_0335,Intermediate,68.56,Moderate,0.0001,Low Risk,3,4,2,3
LEARNER_0336,Intermediate,68.1,Moderate,0.0001,Low Risk,4,2,3,3
LEARNER_0337,Advanced,96.38,High,0.0,Low Risk,9,0,0,3
LEARNER_0338,Beginner,55.72,Moderate,0.3134,Moderate Risk,2,4,3,2
LEARNER_0339,Intermediate,59.75,Moderate,0.0571,Low Risk,1,3,5,2
LEARNER_0340,Advanced,77.98,High,0.0,Low Risk,5,1,3,4
LEARNER_0341,Advanced,79.34,High,0.0,Low Risk,6,1,2,3
LEARNER_0342,Advanced,79.71,High,0.0,Low Risk,5,0,4,2
