learner_id,recommendation_count,top_topic,top_action,top_type,top_priority
LEARNER_0049,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0050,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0051,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0052,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0053,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0054,5,Quantum Measurement,Review Quantum Measurement fundamentals,review_weak_topic,100.0
LEARNER_0055,5,Entanglement,Review Entanglement fundamentals,review_weak_topic,100.0
LEARNER_0056,5,Bell States,Reinforce prerequisite concept: Bell States,reinforce_prerequisite,100.0
LEARNER_0057,5,Shor's Algorithm,Attempt an advanced quantum algorithm challenge in Shor's Algorithm,attempt_challenge,54.35
LEARNER_0058,5,Superposition,Review Superposition fundamentals,review_weak_topic,100.0
LEARNER_0059,5,Grover's Algorithm,Reinforce prerequisite concept: Grover's Algorithm,reinforce_prerequisite,100.0
LEARNER_0060,5,Quantum Measurement,Reinforce prerequisite concept: Quantum Measurement,reinforce_prerequisite,100.0
LEARNER_0061,5,Qubits,Reinforce prerequisite concept: Qubits,reinforce_prerequisite,100.0
LEARNER_0062,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0063,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0064,5,Bell States,Reinforce prerequisite concept: Bell States,reinforce_prerequisite,100.0
LEARNER_0065,5,Shor's Algorithm,Review Shor's Algorithm fundamentals,review_weak_topic,100.0
LEARNER_0066,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0067,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0068,5,Shor's Algorithm,Attempt an advanced quantum algorithm challenge in Shor's Algorithm,attempt_challenge,52.23
LEARNER_0069,5,Quantum Measurement,Review Quantum Measurement fundamentals,review_weak_topic,100.0
LEARNER_0070,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0071,5,Entanglement,Review Entanglement fundamentals,review_weak_topic,100.0
LEARNER_0072,5,Qubits,Reinforce prerequisite concept: Qubits,reinforce_prerequisite,100.0
LEARNER_0073,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0074,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0075,5,Grover's Algorithm,Attempt an advanced quantum algorithm challenge in Grover's Algorithm,attempt_challenge,55.02
LEARNER_0076,5,Quantum Measurement,Review Quantum Measurement fundamentals,review_weak_topic,100.0
LEARNER_0077,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0078,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0079,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0080,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0081,5,Shor's Algorithm,Review Shor's Algorithm fundamentals,review_weak_topic,100.0
LEARNER_0082,5,Superposition,Review Superposition fundamentals,review_weak_topic,100.0
LEARNER_0083,5,Shor's Algorithm,Practice targeted exercises in Shor's Algorithm,practice_developing_topic,81.75
LEARNER_0084,5,Quantum Circuits,Practice targeted exercises in Quantum Circuits,practice_developing_topic,76.33
LEARNER_0085,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0086,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0087,5,Shor's Algorithm,Review Shor's Algorithm fundamentals,review_weak_topic,100.0
LEARNER_0088,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0089,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0090,5,Grover's Algorithm,Attempt an advanced quantum algorithm challenge in Grover's Algorithm,attempt_challenge,54.05
LEARNER_0091,5,Entanglement,Review Entanglement fundamentals,review_weak_topic,100.0
LEARNER_0092,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0093,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0094,5,Quantum Measurement,Review Quantum Measurement fundamentals,review_weak_topic,100.0
LEARNER_0095,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0096,5,Shor's Algorithm,Attempt an advanced quantum algorithm challenge in Shor's Algorithm,attempt_challenge,55.7
LEARNER_0097,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0098,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0099,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0100,5,Grover's Algorithm,Reinforce prerequisite concept: Grover's Algorithm,reinforce_prerequisite,100.0
LEARNER_0101,5,Grover's Algorithm,Attempt an advanced quantum algorithm challenge in Grover's Algorithm,attempt_challenge,52.3
LEARNER_0102,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0103,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0104,5,Grover's Algorithm,Reinforce prerequisite concept: Grover's Algorithm,reinforce_prerequisite,100.0
LEARNER_0105,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0106,5,Shor's Algorithm,Attempt an advanced quantum algorithm challenge in Shor's Algorithm,attempt_challenge,53.38
LEARNER_0107,5,Grover's Algorithm,Review Grover's Algorithm fundamentals,review_weak_topic,100.0
LEARNER_0108,5,Qubits,Reinforce prerequisite concept: Qubits,reinforce_prerequisite,100.0
LEARNER_0109,5,Grover's Algorithm,Reinforce prerequisite concept: Grover's Algorithm,reinforce_prerequisite,100.0
LEARNER_0110,5,Quantum Gates,Practice targeted exercises in Quantum Gates,practice_developing_topic,76.35
LEARNER_0111,5,Grover's Algorithm,Reinforce prerequisite concept: Grover's Algorithm,reinforce_prerequisite,100.0
LEARNER_0112,5,Bell States,Review Bell States fundamentals,review_weak_topic,100.0
LEARNER_0113,5,Grover's Algorithm,Reinforce prerequisite concept: Grover's Algorithm,reinforce_prerequisite,100.0
LEARNER_0114,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0115,5,Shor's Algorithm,Review Shor's Algorithm fundamentals,review_weak_topic,97.08
LEARNER_0116,5,Grover's Algorithm,Reinforce prerequisite concept: Grover's Algorithm,reinforce_prerequisite,100.0
LEARNER_0117,5,Qubits,Reinforce prerequisite concept: Qubits,reinforce_prerequisite,100.0
LEARNER_0118,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0119,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,97.17
LEARNER_0120,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0121,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0122,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0123,5,Entanglement,Reinforce prerequisite concept: Entanglement,reinforce_prerequisite,100.0
LEARNER_0124,5,Grover's Algorithm,Reinforce prerequisite concept: Grover's Algorithm,reinforce_prerequisite,100.0
LEARNER_0125,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0126,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0127,5,Superposition,Review Superposition fundamentals,review_weak_topic,100.0
LEARNER_0128,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0129,5,Grover's Algorithm,Reinforce prerequisite concept: Grover's Algorithm,reinforce_prerequisite,99.0
LEARNER_0130,5,Shor's Algorithm,Attempt an advanced quantum algorithm challenge in Shor's Algorithm,attempt_challenge,50.42
LEARNER_0131,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0132,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0133,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0134,5,Entanglement,Practice targeted exercises in Entanglement,practice_developing_topic,77.1
LEARNER_0135,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0136,5,Entanglement,Reinforce prerequisite concept: Entanglement,reinforce_prerequisite,100.0
LEARNER_0137,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0138,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0139,5,Entanglement,Reinforce prerequisite concept: Entanglement,reinforce_prerequisite,100.0
LEARNER_0140,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0141,5,Shor's Algorithm,Review Shor's Algorithm fundamentals,review_weak_topic,91.38
LEARNER_0142,5,Superposition,Review Superposition fundamentals,review_weak_topic,100.0
LEARNER_0143,5,Bell States,Reinforce prerequisite concept: Bell States,reinforce_prerequisite,100.0
LEARNER_0144,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0145,5,Grover's Algorithm,Reinforce prerequisite concept: Grover's Algorithm,reinforce_prerequisite,100.0
LEARNER_0146,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0147,5,Entanglement,Review Entanglement fundamentals,review_weak_topic,100.0
LEARNER_0148,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0149,5,Bell States,Practice targeted exercises in Bell States,practice_developing_topic,76.55
LEARNER_0150,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0151,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0152,5,Shor's Algorithm,Attempt an advanced quantum algorithm challenge in Shor's Algorithm,attempt_challenge,53.77
LEARNER_0153,5,Superposition,Review Superposition fundamentals,review_weak_topic,100.0
LEARNER_0154,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0155,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0156,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0157,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0158,5,Entanglement,Reinforce prerequisite concept: Entanglement,reinforce_prerequisite,100.0
LEARNER_0159,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0160,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0161,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0162,5,Grover's Algorithm,Reinforce prerequisite concept: Grover's Algorithm,reinforce_prerequisite,98.92
LEARNER_0163,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0164,5,Entanglement,Review Entanglement fundamentals,review_weak_topic,100.0
LEARNER_0165,5,Grover's Algorithm,Attempt an advanced quantum algorithm challenge in Grover's Algorithm,attempt_challenge,51.62
LEARNER_0166,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0167,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0168,5,Quantum Measurement,Review Quantum Measurement fundamentals,review_weak_topic,100.0
LEARNER_0169,5,Quantum Circuits,Review Quantum Circuits fundamentals,review_weak_topic,100.0
LEARNER_0170,5,Bell States,Reinforce prerequisite concept: Bell States,reinforce_prerequisite,100.0
LEARNER_0171,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0172,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0173,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0174,5,Quantum Measurement,Practice targeted exercises in Quantum Measurement,practice_developing_topic,77.9
LEARNER_0175,5,Entanglement,Review Entanglement fundamentals,review_weak_topic,100.0
LEARNER_0176,5,Grover's Algorithm,Reinforce prerequisite concept: Grover's Algorithm,reinforce_prerequisite,100.0
LEARNER_0177,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0178,5,Shor's Algorithm,Review Shor's Algorithm fundamentals,review_weak_topic,100.0
LEARNER_0179,5,Bell States,Reinforce prerequisite concept: Bell States,reinforce_prerequisite,100.0
LEARNER_0180,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0181,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0182,5,Shor's Algorithm,Practice targeted exercises in Shor's Algorithm,practice_developing_topic,82.62
LEARNER_0183,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0184,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0185,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0186,5,Grover's Algorithm,Reinforce prerequisite concept: Grover's Algorithm,reinforce_prerequisite,100.0
LEARNER_0187,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0188,5,Shor's Algorithm,Attempt an advanced quantum algorithm challenge in Shor's Algorithm,attempt_challenge,54.38
LEARNER_0189,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0190,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0191,5,Bell States,Reinforce prerequisite concept: Bell States,reinforce_prerequisite,100.0
LEARNER_0192,5,Quantum Measurement,Review Quantum Measurement fundamentals,review_weak_topic,100.0
LEARNER_0193,5,Grover's Algorithm,Reinforce prerequisite concept: Grover's Algorithm,reinforce_prerequisite,98.15
LEARNER_0194,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0195,5,Entanglement,Review Entanglement fundamentals,review_weak_topic,100.0
LEARNER_0196,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0197,5,Entanglement,Reinforce prerequisite concept: Entanglement,reinforce_prerequisite,100.0
LEARNER_0198,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0199,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0200,5,Grover's Algorithm,Reinforce prerequisite concept: Grover's Algorithm,reinforce_prerequisite,98.88
LEARNER_0201,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0202,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0203,5,Quantum Measurement,Review Quantum Measurement fundamentals,review_weak_topic,100.0
LEARNER_0204,5,Quantum Circuits,Review Quantum Circuits fundamentals,review_weak_topic,100.0
LEARNER_0205,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0206,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0207,5,Grover's Algorithm,Attempt an advanced quantum algorithm challenge in Grover's Algorithm,attempt_challenge,55.1
LEARNER_0208,5,Grover's Algorithm,Reinforce prerequisite concept: Grover's Algorithm,reinforce_prerequisite,100.0
LEARNER_0209,5,Qubits,Reinforce prerequisite concept: Qubits,reinforce_prerequisite,100.0
LEARNER_0210,5,Entanglement,Review Entanglement fundamentals,review_weak_topic,100.0
LEARNER_0211,5,Entanglement,Review Entanglement fundamentals,review_weak_topic,100.0
LEARNER_0212,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0213,5,Bell States,Review Bell States fundamentals,review_weak_topic,100.0
LEARNER_0214,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0215,5,Superposition,Review Superposition fundamentals,review_weak_topic,100.0
LEARNER_0216,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0217,5,Shor's Algorithm,Attempt an advanced quantum algorithm challenge in Shor's Algorithm,attempt_challenge,55.58
LEARNER_0218,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0219,5,Entanglement,Review Entanglement fundamentals,review_weak_topic,100.0
LEARNER_0220,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0221,5,Grover's Algorithm,Practice targeted exercises in Grover's Algorithm,practice_developing_topic,76.67
LEARNER_0222,5,Grover's Algorithm,Reinforce prerequisite concept: Grover's Algorithm,reinforce_prerequisite,98.03
LEARNER_0223,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0224,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0225,5,Bell States,Reinforce prerequisite concept: Bell States,reinforce_prerequisite,100.0
LEARNER_0226,5,Bell States,Reinforce prerequisite concept: Bell States,reinforce_prerequisite,100.0
LEARNER_0227,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0228,5,Grover's Algorithm,Reinforce prerequisite concept: Grover's Algorithm,reinforce_prerequisite,100.0
LEARNER_0229,5,Entanglement,Reinforce prerequisite concept: Entanglement,reinforce_prerequisite,100.0
LEARNER_0230,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0231,5,Grover's Algorithm,Practice targeted exercises in Grover's Algorithm,practice_developing_topic,82.25
LEARNER_0232,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0233,5,Grover's Algorithm,Attempt an advanced quantum algorithm challenge in Grover's Algorithm,attempt_challenge,52.65
LEARNER_0234,5,Entanglement,Review Entanglement fundamentals,review_weak_topic,100.0
LEARNER_0235,5,Shor's Algorithm,Attempt an advanced quantum algorithm challenge in Shor's Algorithm,attempt_challenge,54.7
LEARNER_0236,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0237,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0238,5,Entanglement,Review Entanglement fundamentals,review_weak_topic,100.0
LEARNER_0239,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0240,5,Shor's Algorithm,Review Shor's Algorithm fundamentals,review_weak_topic,100.0
LEARNER_0241,5,Grover's Algorithm,Reinforce prerequisite concept: Grover's Algorithm,reinforce_prerequisite,100.0
LEARNER_0242,5,Superposition,Review Superposition fundamentals,review_weak_topic,100.0
LEARNER_0243,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0244,5,Shor's Algorithm,Attempt an advanced quantum algorithm challenge in Shor's Algorithm,attempt_challenge,51.9
LEARNER_0245,5,Entanglement,Attempt an advanced quantum algorithm challenge in Entanglement,attempt_challenge,51.25
LEARNER_0246,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0247,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0248,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0249,5,Bell States,Reinforce prerequisite concept: Bell States,reinforce_prerequisite,100.0
LEARNER_0250,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0251,5,Bell States,Reinforce prerequisite concept: Bell States,reinforce_prerequisite,100.0
LEARNER_0252,5,Superposition,Review Superposition fundamentals,review_weak_topic,100.0
LEARNER_0253,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0254,5,Grover's Algorithm,Reinforce prerequisite concept: Grover's Algorithm,reinforce_prerequisite,100.0
LEARNER_0255,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0256,5,Shor's Algorithm,Slow down and reinforce core fundamentals starting with Shor's Algorithm,slow_down_reinforce,98.85
LEARNER_0257,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0258,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0259,5,Entanglement,Reinforce prerequisite concept: Entanglement,reinforce_prerequisite,100.0
LEARNER_0260,5,Grover's Algorithm,Reinforce prerequisite concept: Grover's Algorithm,reinforce_prerequisite,100.0
LEARNER_0261,5,Grover's Algorithm,Attempt an advanced quantum algorithm challenge in Grover's Algorithm,attempt_challenge,55.12
LEARNER_0262,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0263,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0264,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0265,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0266,5,Grover's Algorithm,Reinforce prerequisite concept: Grover's Algorithm,reinforce_prerequisite,100.0
LEARNER_0267,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0268,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0269,5,Shor's Algorithm,Attempt an advanced quantum algorithm challenge in Shor's Algorithm,attempt_challenge,55.95
LEARNER_0270,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,97.03
LEARNER_0271,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0272,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0273,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0274,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0275,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
